No,R(mm),theta(deg),outputs,n_L1,k_L1,Fv1_L1,,,200-2000-3750,200-2000-3750-2.5
1,0,0,687.81,1.53732,0,-0.0009,,,,
2,65,270,663.19,1.56472,0,-0.051,,,,
3,65,0,676.06,1.54931,0,-0.0228,,,,
4,65,90,709.23,1.5215,0,0.0279,,,,
5,65,180,689.69,1.54088,0,-0.0074,,,,
6,130,270,604.62,1.60575,0,-0.1266,,,,
7,130,315,604.13,1.60083,0,-0.1175,,,,
8,130,0,621.39,1.57985,0,-0.0788,,,,
9,130,45,653.51,1.55188,0,-0.0275,,,,
10,130,90,674.92,1.53238,0,0.0081,,,,
11,130,135,668.14,1.54148,0,-0.0085,,,,
12,130,180,643.91,1.56891,0,-0.0587,,,,
13,130,225,618.95,1.59341,0,-0.1038,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,

