No,R(mm),theta(deg),outputs,n_L1,k_L1,Fv1_L1,,,250-3500-2250,250-3500-2250-2.5
1,0,0,747.78,1.53677,0,0,,,,
2,65,270,734,1.54002,0,0,,,,
3,65,0,747.08,1.53717,0,0,,,,
4,65,90,760.83,1.53642,0,0,,,,
5,65,180,750.08,1.53829,0,0,,,,
6,130,270,683.81,1.54026,0,0,,,,
7,130,315,692.71,1.54,0,0,,,,
8,130,0,711.59,1.53746,0,0,,,,
9,130,45,727.72,1.53479,0,0,,,,
10,130,90,735.51,1.5339,0,0,,,,
11,130,135,728.62,1.53454,0,0,,,,
12,130,180,716.68,1.53546,0,0,,,,
13,130,225,695.57,1.53855,0,0,,,,
,,,,,,,,,,
,,,,,,,,,,

