No,R(mm),theta(deg),outputs,n_L1,k_L1,Fv1_L1,,,175-2000-3375,175-2000-3375-2.5
1,0,0,581.81,1.53148,0,0.0004,,,,
2,65,270,564.2,1.5484,0,-0.0308,,,,
3,65,0,576.31,1.53745,0,-0.0106,,,,
4,65,90,593.33,1.52577,0,0.0109,,,,
5,65,180,580.27,1.53544,0,-0.0069,,,,
6,130,270,531.79,1.57362,0,-0.0775,,,,
7,130,315,533.63,1.57201,0,-0.0745,,,,
8,130,0,552.28,1.55603,0,-0.0449,,,,
9,130,45,573.23,1.53723,0,-0.0102,,,,
10,130,90,583.57,1.52789,0,0.007,,,,
11,130,135,576.45,1.53485,0,-0.0058,,,,
12,130,180,559.36,1.55019,0,-0.0341,,,,
13,130,225,540.38,1.56721,0,-0.0656,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,

