No,R(mm),theta(deg),outputs,n_L1,k_L1,Fv1_L1,,,200-5000-2625,200-5000-2625-2.5
1,0,0,650,1.50812,0,0,,,,
2,65,270,639.71,1.50882,0,0,,,,
3,65,0,649.06,1.50938,0,0,,,,
4,65,90,659.41,1.50903,0,0,,,,
5,65,180,651.54,1.50877,0,0,,,,
6,130,270,610.21,1.51024,0,0,,,,
7,130,315,619.28,1.50955,0,0,,,,
8,130,0,633.34,1.50845,0,0,,,,
9,130,45,644.96,1.50659,0,0,,,,
10,130,90,651.01,1.50566,0,0,,,,
11,130,135,645.71,1.50598,0,0,,,,
12,130,180,635.81,1.50762,0,0,,,,
13,130,225,619.43,1.50927,0,0,,,,
,,,,,,,,,,
,,,,,,,,,,

