No,R(mm),theta(deg),outputs,n_L1,k_L1,Fv1_L1,,,250-1000-3750,250-1000-3750-2.5
1,0,0,531.91,1.79868,0,-0.0064,,,,
2,65,270,515.63,1.81826,0,-0.0309,,,,
3,65,0,526.3,1.80692,0,-0.0167,,,,
4,65,90,545.72,1.78905,0,0.0056,,,,
5,65,180,531.49,1.80276,0,-0.0115,,,,
6,130,270,480.68,1.84392,0,-0.0632,,,,
7,130,315,483.08,1.83956,0,-0.0577,,,,
8,130,0,498.59,1.82368,0,-0.0377,,,,
9,130,45,517.66,1.80316,0,-0.012,,,,
10,130,90,528.45,1.79074,0,0.0035,,,,
11,130,135,523.18,1.79579,0,-0.0028,,,,
12,130,180,505.19,1.81603,0,-0.0281,,,,
13,130,225,488.3,1.8348,0,-0.0517,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,

