No,R(mm),theta(deg),outputs,n_L1,k_L1,Fv1_L1,,,250-3000-3375,250-3000-3375-2.5
1,0,0,673.62,1.56836,0,-0.0002,,,,
2,65,270,647.04,1.59461,0,-0.0456,,,,
3,65,0,653.34,1.57948,0,-0.0194,,,,
4,65,90,694.93,1.55593,0,0.0212,,,,
5,65,180,678.91,1.57195,0,-0.0064,,,,
6,130,270,596.81,1.6285,0,-0.1046,,,,
7,130,315,589.19,1.62077,0,-0.0911,,,,
8,130,0,604.21,1.59824,0,-0.0519,,,,
9,130,45,641.65,1.57849,0,-0.0177,,,,
10,130,90,671.14,1.56389,0,0.0075,,,,
11,130,135,669.06,1.56928,0,-0.0018,,,,
12,130,180,644.57,1.59219,0,-0.0414,,,,
13,130,225,615.3,1.61705,0,-0.0846,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,

