No,R(mm),theta(deg),outputs,n_L1,k_L1,Fv1_L1,,,225-3500-3750,225-3500-3750-2.5
1,0,0,640.56,1.54186,0,0,,,,
2,65,270,625.72,1.54499,0,0,,,,
3,65,0,637.2,1.54312,0,0,,,,
4,65,90,653.39,1.54037,0,0,,,,
5,65,180,641.37,1.54177,0,0,,,,
6,130,270,595.6,1.54471,0,0,,,,
7,130,315,599.81,1.5456,0,0,,,,
8,130,0,617.01,1.54425,0,0,,,,
9,130,45,635.13,1.54012,0,0,,,,
10,130,90,643.45,1.53893,0,0,,,,
11,130,135,637.56,1.53806,0,0,,,,
12,130,180,621.65,1.54229,0,0,,,,
13,130,225,603.98,1.54451,0,0,,,,
,,,,,,,,,,
,,,,,,,,,,

