No,R(mm),theta(deg),outputs,n_L1,k_L1,Fv1_L1,,,225-4500-2625,225-4500-2625-2.5
1,0,0,689.27,1.52066,0,0,,,,
2,65,270,674.18,1.5249,0,0,,,,
3,65,0,686.83,1.52303,0,0,,,,
4,65,90,702.42,1.51885,0,0,,,,
5,65,180,692.83,1.51823,0,0,,,,
6,130,270,636.08,1.52622,0,0,,,,
7,130,315,643.08,1.52911,0,0,,,,
8,130,0,664.42,1.52132,0,0,,,,
9,130,45,679.29,1.52075,0,0,,,,
10,130,90,686.11,1.51952,0,0,,,,
11,130,135,680.52,1.5192,0,0,,,,
12,130,180,665.89,1.52254,0,0,,,,
13,130,225,646.33,1.52527,0,0,,,,
,,,,,,,,,,
,,,,,,,,,,

