No,R(mm),theta(deg),outputs,n_L1,k_L1,Fv1_L1,,,175-3500-3000,175-3500-3000-2.5
1,0,0,606.96,1.52824,0,-0.0538,,,,
2,65,270,601.14,1.52697,0,-0.0513,,,,
3,65,0,605.37,1.52957,0,-0.0564,,,,
4,65,90,616.23,1.5258,0,-0.049,,,,
5,65,180,608.07,1.52967,0,-0.0566,,,,
6,130,270,575.17,1.53511,0,-0.0673,,,,
7,130,315,578.69,1.53344,0,-0.064,,,,
8,130,0,591.92,1.52891,0,-0.0551,,,,
9,130,45,604.6,1.52279,0,-0.0431,,,,
10,130,90,608.17,1.52442,0,-0.0463,,,,
11,130,135,606.18,1.52172,0,-0.041,,,,
12,130,180,595.92,1.52697,0,-0.0513,,,,
13,130,225,583.16,1.53216,0,-0.0615,,,,
,,,,,,,,,,
,,,,,,,,,,

