No,R(mm),theta(deg),outputs,n_L1,k_L1,Fv1_L1,,,200-2500-2250,200-2500-2250-2.5
1,0,0,668.51,1.52782,0,-0.0026,,,,
2,65,270,650.83,1.54495,0,-0.0345,,,,
3,65,0,656.45,1.53588,0,-0.0176,,,,
4,65,90,684.56,1.51802,0,0.0156,,,,
5,65,180,671.76,1.53067,0,-0.0079,,,,
6,130,270,602.15,1.57732,0,-0.0951,,,,
7,130,315,598.92,1.5761,0,-0.0928,,,,
8,130,0,611.31,1.55812,0,-0.0591,,,,
9,130,45,636.81,1.53766,0,-0.0209,,,,
10,130,90,659.8,1.52459,0,0.0034,,,,
11,130,135,658.75,1.5282,0,-0.0033,,,,
12,130,180,640.96,1.54527,0,-0.0351,,,,
13,130,225,618.66,1.56394,0,-0.07,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,

