No,R(mm),theta(deg),outputs,n_L1,k_L1,Fv1_L1,,,175-3000-2625,175-3000-2625-2.5
1,0,0,616.97,1.54182,0,-0.0805,,,,
2,65,270,606.38,1.54868,0,-0.094,,,,
3,65,0,614.87,1.54507,0,-0.0869,,,,
4,65,90,627.17,1.53857,0,-0.0741,,,,
5,65,180,619.43,1.54188,0,-0.0806,,,,
6,130,270,579.18,1.55141,0,-0.0994,,,,
7,130,315,585.43,1.54766,0,-0.092,,,,
8,130,0,594.21,1.55126,0,-0.0991,,,,
9,130,45,608,1.5433,0,-0.0834,,,,
10,130,90,616.52,1.53634,0,-0.0697,,,,
11,130,135,609.83,1.54111,0,-0.0791,,,,
12,130,180,597.86,1.54832,0,-0.0933,,,,
13,130,225,589.31,1.54365,0,-0.0841,,,,
,,,,,,,,,,
,,,,,,,,,,

