No,R(mm),theta(deg),outputs,n_L1,k_L1,Fv1_L1,,,200-1500-3375,200-1500-3375-2.5
1,0,0,583.53,1.58214,0,-0.0005,,,,
2,65,270,561.68,1.60606,0,-0.0409,,,,
3,65,0,575.42,1.59281,0,-0.0185,,,,
4,65,90,599.5,1.57102,0,0.0182,,,,
5,65,180,581.49,1.58807,0,-0.0105,,,,
6,130,270,523.66,1.63858,0,-0.0962,,,,
7,130,315,526.52,1.63254,0,-0.0859,,,,
8,130,0,547.32,1.61508,0,-0.0562,,,,
9,130,45,572.25,1.59008,0,-0.0139,,,,
10,130,90,585.92,1.57584,0,0.0101,,,,
11,130,135,577.46,1.58546,0,-0.0061,,,,
12,130,180,555.64,1.60789,0,-0.044,,,,
13,130,225,533.96,1.62949,0,-0.0807,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,

