No,R(mm),theta(deg),outputs,n_L1,k_L1,Fv1_L1,,,225-1000-3375,225-1000-3375-2.5
1,0,0,563.83,1.67274,0,-0.0013,,,,
2,65,270,545.63,1.6929,0,-0.0309,,,,
3,65,0,557.86,1.6812,0,-0.0137,,,,
4,65,90,578.94,1.66255,0,0.0136,,,,
5,65,180,563.08,1.67731,0,-0.008,,,,
6,130,270,509.91,1.7202,0,-0.0712,,,,
7,130,315,512.55,1.71635,0,-0.0655,,,,
8,130,0,531.3,1.69874,0,-0.0395,,,,
9,130,45,553.29,1.67676,0,-0.0072,,,,
10,130,90,565.09,1.66433,0,0.011,,,,
11,130,135,558.71,1.67089,0,0.0014,,,,
12,130,180,538.57,1.69147,0,-0.0288,,,,
13,130,225,518.58,1.71182,0,-0.0588,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,

