No,R(mm),theta(deg),outputs,n_L1,k_L1,Fv1_L1,,,250-3000-3750,250-3000-3750-2.5
1,0,0,665.05,1.56006,0,0,,,,
2,65,270,634.73,1.58511,0,0,,,,
3,65,0,667.55,1.55113,0,0,,,,
4,65,90,693.05,1.53779,0.00007,0,,,,
5,65,180,648.84,1.58711,0,0,,,,
6,130,270,620,1.55525,0.00077,0,,,,
7,130,315,618.18,1.56429,0.00028,0,,,,
8,130,0,640.16,1.55661,0,0,,,,
9,130,45,665.8,1.54384,0.00009,0,,,,
10,130,90,666.01,1.55459,0,0,,,,
11,130,135,662.19,1.55094,0,0,,,,
12,130,180,649.18,1.54979,0.00024,0,,,,
13,130,225,626.32,1.55698,0.00001,0,,,,
,,,,,,,,,,
,,,,,,,,,,

