No,R(mm),theta(deg),outputs,n_L1,k_L1,Fv1_L1,,,150-1500-2625,150-1500-2625-2.5
1,0,0,567.36,1.54061,0,-0.001,,,,
2,65,270,548.58,1.56494,0,-0.0452,,,,
3,65,0,556.38,1.55196,0,-0.0216,,,,
4,65,90,581.32,1.52807,0,0.0217,,,,
5,65,180,568.57,1.5432,0,-0.0057,,,,
6,130,270,509.76,1.60537,0,-0.1192,,,,
7,130,315,508.07,1.60156,0,-0.1122,,,,
8,130,0,520.94,1.5799,0,-0.0725,,,,
9,130,45,547.03,1.55075,0,-0.0194,,,,
10,130,90,565,1.53388,0,0.0112,,,,
11,130,135,561.62,1.53956,0,0.0009,,,,
12,130,180,543.44,1.56345,0,-0.0425,,,,
13,130,225,522.75,1.58897,0,-0.0891,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,

