No,R(mm),theta(deg),outputs,n_L1,k_L1,Fv1_L1,,,225-2500-2625,225-2500-2625-2.5
1,0,0,667.21,1.54809,0,-0.0005,,,,
2,65,270,642.88,1.57454,0,-0.0479,,,,
3,65,0,644.5,1.56133,0,-0.0242,,,,
4,65,90,686.89,1.53453,0,0.0237,,,,
5,65,180,674.85,1.54971,0,-0.0034,,,,
6,130,270,594.35,1.61,0,-0.1119,,,,
7,130,315,586.78,1.60277,0,-0.0988,,,,
8,130,0,595.58,1.58126,0,-0.06,,,,
9,130,45,627.59,1.56055,0,-0.0228,,,,
10,130,90,658.83,1.54574,0,0.0037,,,,
11,130,135,661.2,1.54921,0,-0.0025,,,,
12,130,180,639.33,1.57192,0,-0.0432,,,,
13,130,225,612.09,1.59712,0,-0.0886,,,,
,,,,,,,,,,
,,,,,,,,,,

