No,R(mm),theta(deg),outputs,n_L1,k_L1,Fv1_L1,,,250-4500-3000,250-4500-3000-2.5
1,0,0,699.59,1.53226,0,0,,,,
2,65,270,687.83,1.53149,0,0,,,,
3,65,0,695.81,1.53441,0,0,,,,
4,65,90,712.16,1.53174,0,0,,,,
5,65,180,700.86,1.53297,0,0,,,,
6,130,270,647.22,1.53789,0,0,,,,
7,130,315,652.02,1.53671,0,0,,,,
8,130,0,671.24,1.53264,0,0,,,,
9,130,45,687.74,1.53117,0,0,,,,
10,130,90,694.62,1.53192,0,0,,,,
11,130,135,689.49,1.53105,0,0,,,,
12,130,180,677.85,1.53077,0,0,,,,
13,130,225,659.62,1.53458,0,0,,,,
,,,,,,,,,,
,,,,,,,,,,

