No,R(mm),theta(deg),outputs,n_L1,k_L1,Fv1_L1,,,175-4500-3750,175-4500-3750-2.5
1,0,0,586.9,1.50823,0,-0.0146,,,,
2,65,270,577.39,1.51202,0,-0.022,,,,
3,65,0,584.47,1.50982,0,-0.0177,,,,
4,65,90,595.2,1.50624,0,-0.0107,,,,
5,65,180,587.27,1.50926,0,-0.0166,,,,
6,130,270,557.34,1.51667,0,-0.0311,,,,
7,130,315,560.38,1.5157,0,-0.0292,,,,
8,130,0,572.57,1.51268,0,-0.0233,,,,
9,130,45,584.17,1.50885,0,-0.0158,,,,
10,130,90,590.74,1.50639,0,-0.011,,,,
11,130,135,585.72,1.50808,0,-0.0143,,,,
12,130,180,576.67,1.5111,0,-0.0202,,,,
13,130,225,564.82,1.51467,0,-0.0272,,,,
,,,,,,,,,,
,,,,,,,,,,

