No,R(mm),theta(deg),outputs,n_L1,k_L1,Fv1_L1,,,250-4000-2625,250-4000-2625-2.5
1,0,0,721.8,1.53617,0,0,,,,
2,65,270,709.04,1.5369,0,0,,,,
3,65,0,720.57,1.53666,0,0,,,,
4,65,90,736.46,1.53387,0,0,,,,
5,65,180,724.86,1.53529,0,0,,,,
6,130,270,663.62,1.54002,0,0,,,,
7,130,315,672.07,1.53904,0,0,,,,
8,130,0,690.73,1.5372,0,0,,,,
9,130,45,708.97,1.53263,0,0,,,,
10,130,90,716.56,1.53074,0,0,,,,
11,130,135,709.82,1.53174,0,0,,,,
12,130,180,695.7,1.53426,0,0,,,,
13,130,225,674.86,1.53829,0,0,,,,
,,,,,,,,,,
,,,,,,,,,,

