No,R(mm),theta(deg),outputs,n_L1,k_L1,Fv1_L1,,,225-2000-2250,225-2000-2250-2.5
1,0,0,666.99,1.54843,0,-0.0011,,,,
2,65,270,643.09,1.5742,0,-0.0473,,,,
3,65,0,644.65,1.56111,0,-0.0238,,,,
4,65,90,687.02,1.53437,0,0.024,,,,
5,65,180,674.94,1.5496,0,-0.0032,,,,
6,130,270,594.26,1.61017,0,-0.1122,,,,
7,130,315,586.83,1.60266,0,-0.0986,,,,
8,130,0,595.87,1.58076,0,-0.0591,,,,
9,130,45,627.55,1.56061,0,-0.0229,,,,
10,130,90,658.36,1.54641,0,0.0025,,,,
11,130,135,661.19,1.54921,0,-0.0025,,,,
12,130,180,639.21,1.57214,0,-0.0436,,,,
13,130,225,612.14,1.59707,0,-0.0885,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,

