No,R(mm),theta(deg),outputs,n_L1,k_L1,Fv1_L1,,,150-3000-3750,150-3000-3750-2.5
1,0,0,549.41,1.64491,0,-0.0005,,,,
2,65,270,532.42,1.66938,0,-0.0379,,,,
3,65,0,542.28,1.65579,0,-0.0171,,,,
4,65,90,562.03,1.63329,0,0.0172,,,,
5,65,180,548.52,1.6497,0,-0.0078,,,,
6,130,270,496.9,1.70425,0,-0.0916,,,,
7,130,315,498.02,1.69966,0,-0.0845,,,,
8,130,0,511.73,1.67818,0,-0.0514,,,,
9,130,45,531.29,1.65291,0,-0.0127,,,,
10,130,90,543.49,1.63717,0,0.0113,,,,
11,130,135,538.51,1.64478,0,-0.0003,,,,
12,130,180,521.87,1.66866,0,-0.0368,,,,
13,130,225,504.9,1.69247,0,-0.0734,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,

