No,R(mm),theta(deg),outputs,n_L1,k_L1,Fv1_L1,,,200-3000-2625,200-3000-2625-2.5
1,0,0,538.81,1.7597,0,-0.0003,,,,
2,65,270,522.63,1.78072,0,-0.0277,,,,
3,65,0,532.86,1.76777,0,-0.0108,,,,
4,65,90,552.31,1.74961,0,0.0128,,,,
5,65,180,538.39,1.76439,0,-0.0064,,,,
6,130,270,488.26,1.80884,0,-0.0646,,,,
7,130,315,488.94,1.80534,0,-0.06,,,,
8,130,0,502.3,1.78561,0,-0.0341,,,,
9,130,45,522.42,1.76454,0,-0.0066,,,,
10,130,90,534.23,1.75193,0,0.0098,,,,
11,130,135,530,1.75786,0,0.0021,,,,
12,130,180,512.89,1.77957,0,-0.0262,,,,
13,130,225,496.09,1.79956,0,-0.0524,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,

