No,R(mm),theta(deg),outputs,n_L1,k_L1,Fv1_L1,,,175-3000-2250,175-3000-2250-2.5
1,0,0,544.09,1.70639,0,-0.0006,,,,
2,65,270,527.78,1.72883,0,-0.032,,,,
3,65,0,538.4,1.71591,0,-0.0139,,,,
4,65,90,557.29,1.6952,0,0.015,,,,
5,65,180,543.27,1.71119,0,-0.0073,,,,
6,130,270,491.93,1.75957,0,-0.0753,,,,
7,130,315,493.95,1.75546,0,-0.0695,,,,
8,130,0,509.62,1.7373,0,-0.0439,,,,
9,130,45,529.15,1.71212,0,-0.0086,,,,
10,130,90,540.2,1.69786,0,0.0113,,,,
11,130,135,534.58,1.70482,0,0.0016,,,,
12,130,180,516.2,1.72862,0,-0.0317,,,,
13,130,225,498.98,1.75022,0,-0.0621,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,

