No,R(mm),theta(deg),outputs,n_L1,k_L1,Fv1_L1,,,250-2500-3000,250-2500-3000-2.5
1,0,0,681.74,1.58852,0,-0.0013,,,,
2,65,270,656.01,1.61339,0,-0.0429,,,,
3,65,0,672.73,1.59966,0,-0.0199,,,,
4,65,90,703.27,1.57556,0,0.0203,,,,
5,65,180,682.59,1.59337,0,-0.0094,,,,
6,130,270,600.07,1.64693,0,-0.0994,,,,
7,130,315,600.67,1.64131,0,-0.0899,,,,
8,130,0,627.88,1.62363,0,-0.0601,,,,
9,130,45,658.37,1.59655,0,-0.0147,,,,
10,130,90,673.57,1.58138,0,0.0106,,,,
11,130,135,665.66,1.58924,0,-0.0025,,,,
12,130,180,640.81,1.61351,0,-0.0431,,,,
13,130,225,614.66,1.63723,0,-0.083,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,

