No,R(mm),theta(deg),outputs,n_L1,k_L1,Fv1_L1,,,250-5000-3375,250-5000-3375-2.5
1,0,0,694.18,1.52651,0,0,,,,
2,65,270,677.88,1.52851,0,0,,,,
3,65,0,692.06,1.52736,0,0,,,,
4,65,90,707.48,1.52578,0,0,,,,
5,65,180,694.49,1.52759,0,0,,,,
6,130,270,638.02,1.53131,0,0,,,,
7,130,315,647.91,1.53213,0,0,,,,
8,130,0,667.64,1.53095,0,0,,,,
9,130,45,678.24,1.53759,0,0,,,,
10,130,90,696.39,1.5228,0,0,,,,
11,130,135,686.92,1.5266,0,0,,,,
12,130,180,672.03,1.52933,0,0,,,,
13,130,225,648.33,1.53354,0,0,,,,
,,,,,,,,,,
,,,,,,,,,,

