No,R(mm),theta(deg),outputs,n_L1,k_L1,Fv1_L1,,,225-1500-3750,225-1500-3750-2.5
1,0,0,699.45,1.57951,0,-0.0007,,,,
2,65,270,675.28,1.60814,0,-0.0493,,,,
3,65,0,681.62,1.59291,0,-0.0234,,,,
4,65,90,718.81,1.56614,0,0.0219,,,,
5,65,180,704.18,1.58276,0,-0.0062,,,,
6,130,270,613.16,1.65014,0,-0.1212,,,,
7,130,315,606.04,1.6456,0,-0.1134,,,,
8,130,0,618.27,1.62098,0,-0.0712,,,,
9,130,45,653.57,1.59273,0,-0.0231,,,,
10,130,90,679.76,1.57496,0,0.007,,,,
11,130,135,677.66,1.5807,0,-0.0027,,,,
12,130,180,655.85,1.60767,0,-0.0485,,,,
13,130,225,629.17,1.63582,0,-0.0966,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,

