No,R(mm),theta(deg),outputs,n_L1,k_L1,Fv1_L1,,,175-2500-3750,175-2500-3750-2.5
1,0,0,653.64,1.51231,0,0.0008,,,,
2,65,270,644.3,1.5197,0,-0.0133,,,,
3,65,0,652.27,1.51488,0,-0.0041,,,,
4,65,90,664.79,1.50786,0,0.0093,,,,
5,65,180,656.28,1.51315,0,-0.0008,,,,
6,130,270,609.9,1.53147,0,-0.0358,,,,
7,130,315,611.11,1.53011,0,-0.0332,,,,
8,130,0,625.56,1.52263,0,-0.0189,,,,
9,130,45,640.25,1.51252,0,0.0004,,,,
10,130,90,646.92,1.50759,0,0.0098,,,,
11,130,135,642.83,1.51111,0,0.0031,,,,
12,130,180,632.24,1.51855,0,-0.0111,,,,
13,130,225,617.45,1.52823,0,-0.0296,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,

