No,R(mm),theta(deg),outputs,n_L1,k_L1,Fv1_L1,,,175-1500-3000,175-1500-3000-2.5
1,0,0,578.79,1.55089,0,-0.0019,,,,
2,65,270,557.22,1.5762,0,-0.0471,,,,
3,65,0,566.9,1.56171,0,-0.0212,,,,
4,65,90,594.67,1.53813,0,0.0208,,,,
5,65,180,579.01,1.5551,0,-0.0094,,,,
6,130,270,521.12,1.60913,0,-0.1063,,,,
7,130,315,520.45,1.60337,0,-0.0959,,,,
8,130,0,534.59,1.58312,0,-0.0595,,,,
9,130,45,560.16,1.5611,0,-0.0201,,,,
10,130,90,578.6,1.54645,0,0.006,,,,
11,130,135,573.73,1.55386,0,-0.0072,,,,
12,130,180,554.05,1.57609,0,-0.0469,,,,
13,130,225,532.68,1.59848,0,-0.0871,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,

