No,R(mm),theta(deg),outputs,n_L1,k_L1,Fv1_L1,,,200-3500-3375,200-3500-3375-2.5
1,0,0,632.83,1.5267,0,0,,,,
2,65,270,617.79,1.53297,0,0,,,,
3,65,0,629.97,1.52835,0,0,,,,
4,65,90,643.42,1.52648,0,0,,,,
5,65,180,633.98,1.52725,0,0,,,,
6,130,270,589.9,1.532,0,0,,,,
7,130,315,597.28,1.5291,0,0,,,,
8,130,0,612.12,1.52845,0,0,,,,
9,130,45,627.29,1.5257,0,0,,,,
10,130,90,635.01,1.52415,0,0,,,,
11,130,135,627.98,1.52663,0,0,,,,
12,130,180,616.65,1.52729,0,0,,,,
13,130,225,599.93,1.53061,0,0,,,,
,,,,,,,,,,
,,,,,,,,,,

