No,R(mm),theta(deg),outputs,n_L1,k_L1,Fv1_L1,,,200-3000-3000,200-3000-3000-2.5
1,0,0,645.68,1.53614,0,0,,,,
2,65,270,634.88,1.53694,0,0,,,,
3,65,0,640.38,1.54146,0,0,,,,
4,65,90,656.57,1.53536,0,0,,,,
5,65,180,648.09,1.53543,0,0,,,,
6,130,270,602.96,1.53845,0,0,,,,
7,130,315,605.6,1.54082,0,0,,,,
8,130,0,620.71,1.53927,0,0,,,,
9,130,45,634.83,1.53741,0,0,,,,
10,130,90,646.1,1.53072,0,0,,,,
11,130,135,641.87,1.52851,0,0,,,,
12,130,180,628.15,1.53312,0,0,,,,
13,130,225,610.45,1.53948,0,0,,,,
,,,,,,,,,,
,,,,,,,,,,

