No,R(mm),theta(deg),outputs,n_L1,k_L1,Fv1_L1,,,175-5000-2250,175-5000-2250-2.5
1,0,0,625.55,1.49564,0,0.01,,,,
2,65,270,616.49,1.49928,0,0.0029,,,,
3,65,0,624.51,1.49764,0,0.0061,,,,
4,65,90,632.98,1.496,0,0.0093,,,,
5,65,180,626.76,1.49702,0,0.0073,,,,
6,130,270,590.12,1.50327,0,-0.0049,,,,
7,130,315,597.28,1.50245,0,-0.0033,,,,
8,130,0,610.2,1.49948,0,0.0025,,,,
9,130,45,620.18,1.49605,0,0.0092,,,,
10,130,90,625.27,1.49359,0,0.014,,,,
11,130,135,620.8,1.49574,0,0.0098,,,,
12,130,180,612.87,1.49851,0,0.0044,,,,
13,130,225,599.29,1.50158,0,-0.0016,,,,
,,,,,,,,,,
,,,,,,,,,,

