No,R(mm),theta(deg),outputs,n_L1,k_L1,Fv1_L1,,,175-4000-3375,175-4000-3375-2.5
1,0,0,596.6,1.51534,0,-0.0285,,,,
2,65,270,585.44,1.52055,0,-0.0387,,,,
3,65,0,594.7,1.51682,0,-0.0314,,,,
4,65,90,605.08,1.51457,0,-0.027,,,,
5,65,180,597.42,1.5159,0,-0.0296,,,,
6,130,270,561.22,1.52626,0,-0.0499,,,,
7,130,315,566.67,1.52544,0,-0.0483,,,,
8,130,0,580.94,1.5207,0,-0.039,,,,
9,130,45,593.77,1.51544,0,-0.0287,,,,
10,130,90,600.18,1.51278,0,-0.0235,,,,
11,130,135,594.57,1.51513,0,-0.0281,,,,
12,130,180,583.76,1.51958,0,-0.0368,,,,
13,130,225,569.61,1.5233,0,-0.0441,,,,
,,,,,,,,,,
,,,,,,,,,,

