No,R(mm),theta(deg),outputs,n_L1,k_L1,Fv1_L1,,,150-2000-3000,150-2000-3000-2.5
1,0,0,568.13,1.52223,0,0.0023,,,,
2,65,270,556.39,1.53329,0,-0.0184,,,,
3,65,0,565.02,1.52602,0,-0.0048,,,,
4,65,90,578.26,1.51618,0,0.0136,,,,
5,65,180,568.81,1.52335,0,0.0002,,,,
6,130,270,526.63,1.55476,0,-0.0587,,,,
7,130,315,528.59,1.55232,0,-0.0541,,,,
8,130,0,544.41,1.53826,0,-0.0277,,,,
9,130,45,560.92,1.52298,0,0.0009,,,,
10,130,90,567.89,1.51687,0,0.0123,,,,
11,130,135,563.15,1.52148,0,0.0037,,,,
12,130,180,550.2,1.53319,0,-0.0182,,,,
13,130,225,534.49,1.54753,0,-0.0451,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,

