No,R(mm),theta(deg),outputs,n_L1,k_L1,Fv1_L1,,,150-2500-3375,150-2500-3375-2.5
1,0,0,561.51,1.51642,0,0.0002,,,,
2,65,270,552.4,1.52286,0,-0.012,,,,
3,65,0,559.37,1.51837,0,-0.0035,,,,
4,65,90,569.37,1.51378,0,0.0052,,,,
5,65,180,561.83,1.518,0,-0.0028,,,,
6,130,270,530.96,1.53303,0,-0.0313,,,,
7,130,315,531.9,1.53203,0,-0.0294,,,,
8,130,0,544.4,1.52491,0,-0.0159,,,,
9,130,45,557.59,1.51579,0,0.0014,,,,
10,130,90,562.76,1.51293,0,0.0068,,,,
11,130,135,559.12,1.51584,0,0.0013,,,,
12,130,180,549.75,1.52149,0,-0.0094,,,,
13,130,225,537.42,1.52945,0,-0.0245,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,

