No,R(mm),theta(deg),outputs,n_L1,k_L1,Fv1_L1,,,200-4500-2250,200-4500-2250-2.5
1,0,0,673.81,1.50863,0,0,,,,
2,65,270,663.84,1.51326,0,0,,,,
3,65,0,672.57,1.51006,0,0,,,,
4,65,90,681.55,1.5099,0,0,,,,
5,65,180,675.45,1.51027,0,0,,,,
6,130,270,635.3,1.51332,0,0,,,,
7,130,315,638.28,1.5129,0,0,,,,
8,130,0,650.2,1.51303,0,0,,,,
9,130,45,661.09,1.5114,0,0,,,,
10,130,90,665.87,1.51111,0,0,,,,
11,130,135,662.14,1.51138,0,0,,,,
12,130,180,654.87,1.51161,0,0,,,,
13,130,225,643.16,1.51337,0,0,,,,
,,,,,,,,,,
,,,,,,,,,,

