No,R(mm),theta(deg),outputs,n_L1,k_L1,Fv1_L1,,,200-1000-3000,200-1000-3000-2.5
1,0,0,570.13,1.62602,0,0.0001,,,,
2,65,270,550.89,1.64911,0,-0.0362,,,,
3,65,0,563.38,1.63577,0,-0.0152,,,,
4,65,90,584.62,1.61561,0,0.0164,,,,
5,65,180,569.1,1.63106,0,-0.0078,,,,
6,130,270,515,1.67831,0,-0.0824,,,,
7,130,315,517.35,1.67453,0,-0.0764,,,,
8,130,0,535.37,1.65614,0,-0.0473,,,,
9,130,45,557.02,1.63233,0,-0.0098,,,,
10,130,90,569.14,1.6183,0,0.0122,,,,
11,130,135,562.38,1.62608,0,0,,,,
12,130,180,542.79,1.64784,0,-0.0342,,,,
13,130,225,523.85,1.66847,0,-0.0668,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,

