No,R(mm),theta(deg),outputs,n_L1,k_L1,Fv1_L1,,,200-4000-3750,200-4000-3750-2.5
1,0,0,620.88,1.51988,0,0,,,,
2,65,270,607.5,1.52326,0,0,,,,
3,65,0,618.06,1.52103,0,0,,,,
4,65,90,630.57,1.51987,0,0,,,,
5,65,180,621.43,1.52024,0,0,,,,
6,130,270,579.34,1.52534,0,0,,,,
7,130,315,584.72,1.52659,0,0,,,,
8,130,0,601.58,1.52334,0,0,,,,
9,130,45,616.6,1.52018,0,0,,,,
10,130,90,625.08,1.51805,0,0,,,,
11,130,135,618.82,1.51918,0,0,,,,
12,130,180,606.61,1.52094,0,0,,,,
13,130,225,589.89,1.52363,0,0,,,,
,,,,,,,,,,
,,,,,,,,,,

