No,R(mm),theta(deg),outputs,n_L1,k_L1,Fv1_L1,,,225-3000-3375,225-3000-3375-2.5
1,0,0,652.76,1.54737,0,0,,,,
2,65,270,638.92,1.54893,0,0,,,,
3,65,0,648.98,1.55038,0,0,,,,
4,65,90,668.13,1.54291,0,0,,,,
5,65,180,656,1.54488,0,0,,,,
6,130,270,603.68,1.55087,0,0,,,,
7,130,315,608.12,1.55476,0,0,,,,
8,130,0,626.74,1.54984,0,0,,,,
9,130,45,645.01,1.54523,0,0,,,,
10,130,90,654.52,1.54192,0,0,,,,
11,130,135,646.76,1.54379,0,0,,,,
12,130,180,631.18,1.5475,0,0,,,,
13,130,225,603.78,1.56343,0,0,,,,
,,,,,,,,,,
,,,,,,,,,,

