No,R(mm),theta(deg),outputs,n_L1,k_L1,Fv1_L1,,,250-1500-2250,250-1500-2250-2.5
1,0,0,693.17,1.65916,0,0.0003,,,,
2,65,270,671.66,1.6841,0,-0.037,,,,
3,65,0,686.46,1.66967,0,-0.0154,,,,
4,65,90,709.6,1.64881,0,0.0157,,,,
5,65,180,693.24,1.66472,0,-0.008,,,,
6,130,270,607.87,1.71849,0,-0.0888,,,,
7,130,315,609.84,1.71399,0,-0.082,,,,
8,130,0,632.76,1.69356,0,-0.0512,,,,
9,130,45,657.76,1.66753,0,-0.0122,,,,
10,130,90,670.71,1.65298,0,0.0095,,,,
11,130,135,665.28,1.65835,0,0.0015,,,,
12,130,180,644.39,1.68283,0,-0.0351,,,,
13,130,225,620.58,1.70618,0,-0.0702,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,

